S.No.,Movie Name,Year,Crew,IMDb
221, Andrei Rublev,-1966,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.045202863
222, Les quatre cents coups,-1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.043965444
223, Ah-ga-ssi,-2016,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.042790168
224, Hotel Rwanda,-2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.042640138
225, Amores perros,-2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.041301645
226, Spotlight,-2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.04029668
227, Rang De Basanti,-2006,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.039216607
228, Kaze no tani no Naushika,-1984,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.037885405
229, Rocky,-1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.034466503
230, La haine,-1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.032907334
231, Rebecca,-1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.0323354
232," Monsters, Inc.",-2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.031422901
233, The Circus,-1928,"Charles Chaplin (dir.), Charles Chaplin, Merna Kennedy",8.024194358
234, Gangs of Wasseypur,-2012,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.02363736
235, Portrait de la jeune fille en feu,-2019,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",8.021808592
236, It Happened One Night,-1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.019807499
237, Fa yeung nin wah,-2000,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.01790298
238, Before Sunset,-2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.016864061
239," Paris, Texas",-1984,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.014438237
240, The Help,-2011,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.013106625
241, Drishyam,-2015,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",8.012933994
242, The Princess Bride,-1987,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.01193711
243, Contratiempo,-2016,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",8.011616143
244, The Terminator,-1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.009066593
245, Fanny och Alexander,-1982,"Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin",8.007206604
246, Munna Bhai M.B.B.S.,-2003,"Rajkumar Hirani (dir.), Sanjay Dutt, Arshad Warsi",8.006160272
247," Swades: We, the People",-2004,"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi",8.006123507
248, Kis Uykusu,-2014,"Nuri Bilge Ceylan (dir.), Haluk Bilginer, Melisa Sözen",8.00604045
249, Koe no katachi,-2016,"Naoko Yamada (dir.), Miyu Irino, Saori Hayami",8.006002429
250, Aladdin,-1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.005978791
,,,,
126,"['Die', 'Hard']",-1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.194368029
,,,,
127,['Rashômon'],-1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.19288468
,,,,
128,['Yôjinbô'],-1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.191025785
,,,,
129,"['Batman', 'Begins']",-2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.190414411
,,,,
130,"['Green', 'Book']",-2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.187110352
,,,,
131,"['Der', 'Untergang']",-2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.185410855
,,,,
132,"['Bacheha-Ye', 'aseman']",-1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.184758309
,,,,
133,['Unforgiven'],-1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.183072495
,,,,
134,"['Some', 'Like', 'It', 'Hot']",-1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.176121852
,,,,
135,['Ran'],-1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.173876112
,,,,
136,"['Hauru', 'no', 'ugoku', 'shiro']",-2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.168359107
,,,,
